2018,Jan
Jan,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
16,73.9 °F,58.3 °F,42.8 °F,39.9 °F,37.8 °F,35.8 °F,80 %,51 %,26 %,7 mph,1 mph,12 mph,29.66 in,29.59 in,29.52 in,0 in
17,71.8 °F,58.7 °F,45.5 °F,53.1 °F,46.8 °F,37.4 °F,85 %,64 %,43 %,10 mph,2 mph,14 mph,29.64 in,29.57 in,29.5 in,0 in
18,61 °F,49.1 °F,37.4 °F,54 °F,35.3 °F,30.9 °F,86 %,76 %,69 %,6 mph,2 mph,11 mph,29.83 in,29.7 in,29.58 in,0 in
19,55.9 °F,46 °F,36.3 °F,36.3 °F,33.5 °F,30.6 °F,83 %,68 %,46 %,6 mph,0 mph,7 mph,29.78 in,29.72 in,29.65 in,0 in
20,60.3 °F,47.5 °F,34.7 °F,35.8 °F,32.8 °F,29.3 °F,94 %,63 %,33 %,9 mph,1 mph,12 mph,29.91 in,29.85 in,29.78 in,0 in
21,61.2 °F,48.1 °F,34.9 °F,36.7 °F,34.3 °F,31.1 °F,90 %,60 %,34 %,5 mph,0 mph,7 mph,29.9 in,29.83 in,29.75 in,0 in
22,65.8 °F,52.6 °F,39.6 °F,43.9 °F,40.1 °F,36.1 °F,88 %,62 %,41 %,7 mph,1 mph,9 mph,29.83 in,29.67 in,29.52 in,0 in
23,76.3 °F,64.7 °F,53.1 °F,55.4 °F,43.9 °F,36.9 °F,88 %,56 %,26 %,10 mph,2 mph,17 mph,29.52 in,29.35 in,29.19 in,0 in
24,74.1 °F,61.2 °F,48.7 °F,48 °F,40.6 °F,36.5 °F,70 %,49 %,28 %,8 mph,2 mph,11 mph,29.34 in,29.23 in,29.11 in,0 in
25,63.1 °F,51.2 °F,39.4 °F,52.9 °F,37.4 °F,27.5 °F,77 %,55 %,40 %,14 mph,4 mph,22 mph,29.73 in,29.4 in,29.08 in,0 in
26,52.5 °F,42.2 °F,32 °F,31.3 °F,27.6 °F,24.8 °F,77 %,61 %,39 %,8 mph,2 mph,11 mph,29.87 in,29.8 in,29.72 in,0 in
27,68.9 °F,51.8 °F,34.9 °F,32.9 °F,30.8 °F,28.4 °F,81 %,51 %,24 %,8 mph,1 mph,11 mph,29.76 in,29.62 in,29.49 in,0 in
28,71.4 °F,57.7 °F,43.9 °F,52.7 °F,39.7 °F,30.7 °F,76 %,52 %,37 %,12 mph,3 mph,18 mph,29.51 in,29.38 in,29.24 in,0 in
29,79.7 °F,66.6 °F,53.6 °F,62.6 °F,55.7 °F,51.8 °F,94 %,73 %,41 %,10 mph,3 mph,12 mph,29.32 in,29.26 in,29.19 in,0 in
30,74.1 °F,69.4 °F,64.8 °F,65.8 °F,63.3 °F,58.5 °F,93 %,83 %,74 %,12 mph,3 mph,17 mph,29.28 in,29.14 in,28.99 in,0.02 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Dec,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,72.5 °F,64.3 °F,56.1 °F,58.6 °F,37.1 °F,30.7 °F,73 %,37 %,25 %,10 mph,3 mph,11 mph,29.11 in,29.06 in,29 in,0 in
2,60.3 °F,53 °F,45.9 °F,39.2 °F,35.6 °F,29.8 °F,67 %,52 %,33 %,7 mph,1 mph,11 mph,29.51 in,29.31 in,29.11 in,0 in
3,54.7 °F,46.2 °F,37.8 °F,38.3 °F,32.2 °F,28 °F,71 %,56 %,42 %,7 mph,2 mph,10 mph,29.85 in,29.67 in,29.49 in,0 in
4,47.5 °F,38.8 °F,30.6 °F,30.9 °F,28.6 °F,26.1 °F,85 %,67 %,50 %,8 mph,1 mph,10 mph,29.93 in,29.87 in,29.81 in,0 in
5,55.4 °F,42.8 °F,30.7 °F,35.4 °F,30.7 °F,26.6 °F,86 %,61 %,40 %,6 mph,1 mph,8 mph,29.96 in,29.84 in,29.72 in,0 in
6,53.2 °F,49.6 °F,46 °F,50.2 °F,41.6 °F,30.7 °F,97 %,74 %,46 %,8 mph,1 mph,10 mph,29.79 in,29.73 in,29.66 in,0.15 in
7,46 °F,44.2 °F,42.4 °F,45.3 °F,43.4 °F,41.5 °F,97 %,96 %,93 %,8 mph,1 mph,10 mph,29.85 in,29.78 in,29.72 in,0.67 in
8,43 °F,40.4 °F,37.8 °F,42.1 °F,38.6 °F,35.4 °F,98 %,95 %,91 %,10 mph,2 mph,12 mph,29.76 in,29.7 in,29.64 in,0.51 in
9,52.7 °F,43.8 °F,34.9 °F,37 °F,33.9 °F,30.6 °F,93 %,73 %,51 %,8 mph,2 mph,11 mph,29.88 in,29.81 in,29.75 in,0 in
10,61.3 °F,45.5 °F,30.4 °F,34.2 °F,29.6 °F,23.2 °F,94 %,62 %,24 %,5 mph,0 mph,6 mph,29.91 in,29.85 in,29.8 in,0 in
11,61.5 °F,49.9 °F,38.5 °F,43.7 °F,35.7 °F,31.5 °F,78 %,60 %,36 %,12 mph,2 mph,17 mph,29.86 in,29.73 in,29.6 in,0 in
12,63.7 °F,56.1 °F,48.7 °F,58.3 °F,51.1 °F,43.5 °F,89 %,83 %,73 %,12 mph,2 mph,17 mph,29.6 in,29.42 in,29.24 in,0 in
13,64.8 °F,54.8 °F,44.8 °F,61 °F,53.8 °F,42.8 °F,96 %,93 %,86 %,11 mph,2 mph,17 mph,29.31 in,29.2 in,29.09 in,1.05 in
14,50 °F,46.4 °F,42.8 °F,44.1 °F,41.8 °F,32.2 °F,96 %,88 %,58 %,10 mph,4 mph,18 mph,29.63 in,29.47 in,29.31 in,0.05 in
15,61.9 °F,50 °F,38.1 °F,34 °F,30 °F,26.8 °F,69 %,51 %,27 %,9 mph,2 mph,12 mph,29.73 in,29.67 in,29.61 in,0 in
16,66.2 °F,52.5 °F,38.8 °F,40.1 °F,34.3 °F,28 °F,77 %,55 %,24 %,6 mph,1 mph,8 mph,29.79 in,29.74 in,29.68 in,0 in
17,52.7 °F,47.4 °F,42.1 °F,43.3 °F,40.2 °F,36.3 °F,91 %,78 %,67 %,5 mph,0 mph,6 mph,29.79 in,29.72 in,29.65 in,0 in
18,64 °F,50.8 °F,38.1 °F,46.2 °F,42.4 °F,37.2 °F,96 %,75 %,49 %,6 mph,1 mph,8 mph,29.65 in,29.55 in,29.45 in,0 in
19,61.9 °F,57 °F,52 °F,54.3 °F,51.8 °F,46.2 °F,98 %,90 %,73 %,6 mph,1 mph,10 mph,29.46 in,29.34 in,29.23 in,0.05 in
20,60.8 °F,53.8 °F,46.9 °F,50.9 °F,34.6 °F,25.7 °F,95 %,53 %,28 %,17 mph,4 mph,24 mph,29.51 in,29.41 in,29.31 in,0 in
21,61.3 °F,48.4 °F,36.1 °F,32 °F,29.4 °F,26.6 °F,75 %,47 %,28 %,9 mph,2 mph,16 mph,29.56 in,29.44 in,29.33 in,0 in
22,66.6 °F,54.7 °F,42.8 °F,38.8 °F,35.5 °F,30.7 °F,78 %,53 %,31 %,9 mph,2 mph,15 mph,29.55 in,29.4 in,29.26 in,0 in
23,57.9 °F,49.8 °F,41.7 °F,38.1 °F,35.1 °F,31.5 °F,80 %,62 %,43 %,8 mph,1 mph,16 mph,29.87 in,29.71 in,29.54 in,0 in
24,61.3 °F,50.4 °F,39.6 °F,50.2 °F,39.6 °F,31.6 °F,77 %,63 %,47 %,10 mph,2 mph,14 mph,29.83 in,29.66 in,29.49 in,0 in
25,65.7 °F,60.9 °F,56.1 °F,59 °F,56.2 °F,49.6 °F,96 %,86 %,74 %,8 mph,2 mph,11 mph,29.62 in,29.57 in,29.52 in,0 in
26,66 °F,60.2 °F,54.5 °F,60.8 °F,58 °F,52.9 °F,97 %,88 %,77 %,17 mph,4 mph,27 mph,29.54 in,29.31 in,29.08 in,2.59 in
27,62.8 °F,51.6 °F,40.6 °F,53.4 °F,43.7 °F,31.3 °F,96 %,72 %,47 %,12 mph,3 mph,17 mph,29.51 in,29.28 in,29.05 in,0.29 in
28,47.8 °F,41 °F,34.3 °F,31.5 °F,27.9 °F,24.3 °F,74 %,61 %,47 %,11 mph,2 mph,15 mph,29.79 in,29.64 in,29.49 in,0 in
29,41.2 °F,38 °F,34.7 °F,29.7 °F,27.6 °F,25.7 °F,74 %,68 %,62 %,7 mph,2 mph,11 mph,29.89 in,29.81 in,29.74 in,0.04 in
30,41.2 °F,38 °F,34.7 °F,39.4 °F,32.7 °F,28 °F,96 %,81 %,74 %,5 mph,1 mph,6 mph,29.75 in,29.51 in,29.28 in,0.02 in
31,62.6 °F,51.2 °F,39.7 °F,43.5 °F,39.5 °F,37.6 °F,97 %,75 %,40 %,6 mph,1 mph,7 mph,29.58 in,29.4 in,29.22 in,0.58 in
2019,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Jan,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,44.6 °F,39.2 °F,34.3 °F,38.5 °F,31.4 °F,27.1 °F,85 %,77 %,70 %,9 mph,2 mph,15 mph,29.86 in,29.72 in,29.57 in,0 in
2,35.4 °F,33.6 °F,31.8 °F,34.7 °F,31.1 °F,26.8 °F,97 %,91 %,75 %,8 mph,2 mph,11 mph,29.83 in,29.7 in,29.58 in,1.61 in
3,40.3 °F,37.6 °F,35.1 °F,38.5 °F,35.9 °F,33.8 °F,98 %,94 %,87 %,7 mph,2 mph,10 mph,29.61 in,29.51 in,29.42 in,0.61 in
4,62.2 °F,49.2 °F,36.5 °F,36.3 °F,34.5 °F,31.5 °F,96 %,67 %,34 %,8 mph,2 mph,11 mph,29.56 in,29.49 in,29.42 in,0.01 in
5,73 °F,55.8 °F,38.8 °F,43.3 °F,38.4 °F,32.9 °F,84 %,59 %,28 %,5 mph,1 mph,8 mph,29.64 in,29.58 in,29.52 in,0 in
6,69.8 °F,58.3 °F,47.1 °F,57.4 °F,48.2 °F,38.1 °F,84 %,69 %,53 %,12 mph,3 mph,20 mph,29.6 in,29.49 in,29.38 in,0 in
7,75.2 °F,64.6 °F,54.3 °F,60.4 °F,49 °F,33.8 °F,89 %,61 %,28 %,12 mph,2 mph,20 mph,29.53 in,29.47 in,29.41 in,0 in
8,67.6 °F,56.7 °F,45.7 °F,41.9 °F,35 °F,24.1 °F,78 %,50 %,24 %,11 mph,1 mph,17 mph,29.96 in,29.74 in,29.52 in,0 in
9,61.7 °F,50.6 °F,39.9 °F,31.6 °F,26.5 °F,16.3 °F,69 %,45 %,20 %,8 mph,1 mph,11 mph,30.09 in,29.99 in,29.88 in,0 in
10,51.6 °F,46.7 °F,41.7 °F,32.7 °F,27.6 °F,22.6 °F,56 %,46 %,37 %,7 mph,2 mph,11 mph,29.91 in,29.78 in,29.65 in,0 in
11,53.6 °F,49.4 °F,45.3 °F,51.1 °F,41.2 °F,32.5 °F,96 %,75 %,55 %,8 mph,2 mph,12 mph,29.66 in,29.52 in,29.39 in,0.37 in
12,55.2 °F,48.3 °F,41.5 °F,53.6 °F,38.7 °F,32 °F,97 %,76 %,66 %,13 mph,4 mph,20 mph,29.8 in,29.58 in,29.35 in,0.04 in
13,41.5 °F,38.7 °F,36 °F,32.9 °F,30.7 °F,29.3 °F,80 %,74 %,69 %,9 mph,2 mph,15 mph,29.98 in,29.88 in,29.78 in,0 in
14,46.4 °F,41.2 °F,36 °F,34.3 °F,31.9 °F,29.8 °F,84 %,76 %,61 %,5 mph,1 mph,6 mph,30.02 in,29.94 in,29.86 in,0 in
15,50 °F,43.7 °F,37.6 °F,41.7 °F,37.1 °F,32.9 °F,83 %,76 %,68 %,6 mph,1 mph,9 mph,29.88 in,29.79 in,29.7 in,0 in
16,64.4 °F,55.1 °F,45.7 °F,54.5 °F,48.6 °F,41.4 °F,95 %,85 %,70 %,12 mph,2 mph,21 mph,29.73 in,29.62 in,29.52 in,0 in
17,57.7 °F,50.1 °F,42.4 °F,54.7 °F,46.8 °F,39.4 °F,90 %,81 %,62 %,10 mph,2 mph,16 mph,29.67 in,29.58 in,29.49 in,0 in
18,69.8 °F,56.1 °F,42.4 °F,60.3 °F,50.6 °F,39.4 °F,92 %,82 %,53 %,13 mph,3 mph,20 mph,29.61 in,29.37 in,29.12 in,0 in
19,61.9 °F,45.8 °F,30.2 °F,46.2 °F,28.2 °F,20.7 °F,92 %,68 %,53 %,16 mph,6 mph,29 mph,29.9 in,29.52 in,29.14 in,0.1 in
20,49.1 °F,37 °F,25 °F,26.8 °F,22.5 °F,19.8 °F,84 %,59 %,35 %,7 mph,1 mph,12 mph,29.92 in,29.8 in,29.68 in,0 in
21,59.4 °F,48.8 °F,38.3 °F,47.1 °F,35.6 °F,26.4 °F,77 %,62 %,48 %,12 mph,4 mph,20 mph,29.7 in,29.54 in,29.38 in,0 in
22,62.4 °F,49.6 °F,36.7 °F,57.2 °F,47 °F,25.2 °F,90 %,79 %,63 %,16 mph,4 mph,24 mph,29.62 in,29.44 in,29.27 in,0.08 in
23,49.1 °F,38.3 °F,27.5 °F,26.1 °F,21.6 °F,17.2 °F,67 %,55 %,35 %,14 mph,3 mph,22 mph,29.71 in,29.63 in,29.56 in,0 in
24,59.5 °F,45.5 °F,31.5 °F,31.1 °F,26.5 °F,23.5 °F,76 %,52 %,27 %,8 mph,1 mph,14 mph,29.84 in,29.69 in,29.55 in,0 in
25,54.5 °F,41.9 °F,29.3 °F,32.5 °F,27.4 °F,20.5 °F,78 %,59 %,41 %,6 mph,1 mph,9 mph,29.89 in,29.8 in,29.71 in,0 in
26,58.5 °F,46.8 °F,35.2 °F,36.5 °F,32.1 °F,28.2 °F,82 %,61 %,42 %,5 mph,1 mph,7 mph,29.79 in,29.71 in,29.62 in,0 in
27,64.6 °F,48.5 °F,32.5 °F,34.3 °F,30.9 °F,26.8 °F,93 %,57 %,25 %,7 mph,1 mph,10 mph,29.71 in,29.55 in,29.39 in,0 in
28,62.6 °F,53.2 °F,43.7 °F,41.9 °F,35.1 °F,24.3 °F,80 %,57 %,36 %,12 mph,3 mph,20 mph,29.73 in,29.51 in,29.29 in,0 in
